Date : 2020-04-29 07:38:19
Directory : e:\DATA\document\VsCode\geofs_app
Total : 299 files,  937723 codes, 520162 comments, 172076 blanks, all 1629961 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| static\js\CesiumUnminified\Widgets\FullscreenButton                                  |          1 |          7 |          0 |          1 |          8 |
| static\Build\Assets\Textures                                                         |          1 |          1 |          0 |          0 |          1 |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                             | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .editorconfig                                                                        | Properties |          8 |          0 |          2 |         10 |
| .eslintrc.js                                                                         | JavaScript |         38 |         11 |          2 |         51 |
| .postcssrc.js                                                                        | JavaScript |          7 |          2 |          2 |         11 |
| README.md                                                                            | Markdown   |         18 |          0 |         10 |         28 |
| build\build.js                                                                       | JavaScript |         35 |          0 |          7 |         42 |
| build\check-versions.js                                                              | JavaScript |         45 |          0 |         10 |         55 |
| build\utils.js                                                                       | JavaScript |         80 |          5 |         17 |        102 |
| build\vue-loader.conf.js                                                             | JavaScript |         21 |          0 |          2 |         23 |
| build\webpack.base.conf.js                                                           | JavaScript |         82 |         13 |          3 |         98 |
| build\webpack.dev.conf.js                                                            | JavaScript |         86 |          8 |          6 |        100 |
| build\webpack.prod.conf.js                                                           | JavaScript |        121 |         26 |          7 |        154 |
| config\dev.env.js                                                                    | JavaScript |          6 |          0 |          2 |          8 |
| config\index.js                                                                      | JavaScript |         31 |         30 |         15 |         76 |
| config\prod.env.js                                                                   | JavaScript |          4 |          0 |          1 |          5 |
| index.html                                                                           | HTML       |        122 |          0 |         13 |        135 |
| index2.html                                                                          | HTML       |      1,662 |         58 |         42 |      1,762 |
| package-lock.json                                                                    | JSON       |     12,893 |          0 |          1 |     12,894 |
| package.json                                                                         | JSON       |         85 |          0 |          0 |         85 |
| server\proxy.js                                                                      | JavaScript |        127 |         13 |         11 |        151 |
| server\server.js                                                                     | JavaScript |         46 |         17 |          8 |         71 |
| server\store.js                                                                      | JavaScript |        146 |         61 |         16 |        223 |
| src\App.vue                                                                          | Vue        |         19 |          0 |          5 |         24 |
| src\Components\AircraftDrawer.vue                                                    | Vue        |         97 |         23 |          3 |        123 |
| src\Components\AutomapDrawer.vue                                                     | Vue        |        135 |          1 |         15 |        151 |
| src\Components\Autopilot.vue                                                         | Vue        |        158 |          0 |          8 |        166 |
| src\Components\Camera.vue                                                            | Vue        |         44 |          1 |          2 |         47 |
| src\Components\Index.vue                                                             | Vue        |         42 |          0 |          1 |         43 |
| src\Components\LocationDrawer.vue                                                    | Vue        |        116 |          6 |          0 |        122 |
| src\Components\Map.vue                                                               | Vue        |         27 |          0 |          4 |         31 |
| src\Components\Navigation.vue                                                        | Vue        |        224 |          3 |         19 |        246 |
| src\Components\Setting\Control.vue                                                   | Vue        |        126 |          2 |          7 |        135 |
| src\Components\Setting\Environment.vue                                               | Vue        |        174 |          0 |          3 |        177 |
| src\Components\Setting\Graphics.vue                                                  | Vue        |         71 |          0 |          5 |         76 |
| src\Components\Setting\SettingDrawer.vue                                             | Vue        |         67 |          0 |          5 |         72 |
| src\Components\Setting\Simulation.vue                                                | Vue        |         31 |          0 |          6 |         37 |
| src\assets\css\font.css                                                              | CSS        |         30 |          1 |          3 |         34 |
| src\lib\aircraft\Aircraft.js                                                         | JavaScript |        519 |          8 |          7 |        534 |
| src\lib\aircraft\animation.js                                                        | JavaScript |         95 |          0 |          2 |         97 |
| src\lib\aircraft\api.js                                                              | JavaScript |      1,394 |         31 |          9 |      1,434 |
| src\lib\aircraft\debug.js                                                            | JavaScript |        111 |          0 |          1 |        112 |
| src\lib\aircraft\fx.js                                                               | JavaScript |        959 |          3 |          1 |        963 |
| src\lib\aircraft\preferences.js                                                      | JavaScript |        305 |          4 |          2 |        311 |
| src\lib\aircraft\runways.js                                                          | JavaScript |        275 |          1 |          2 |        278 |
| src\lib\aircraft\shadow.js                                                           | JavaScript |         52 |          1 |          0 |         53 |
