filename, language, JavaScript, Properties, HTML, JSON, Markdown, Vue, CSS, XML, PHP, comment, blank, total
static\Build\Assets\IAU2006_XYS\IAU2006_XYS_21.json, JSON, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
static\Build\Assets\IAU2006_XYS\IAU2006_XYS_22.json, JSON, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
static\Build\Assets\IAU2006_XYS\IAU2006_XYS_23.json, JSON, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
static\Build\Assets\IAU2006_XYS\IAU2006_XYS_24.json, JSON, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
static\Build\Assets\IAU2006_XYS\IAU2006_XYS_25.json, JSON, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
static\Build\Assets\IAU2006_XYS\IAU2006_XYS_26.json, JSON, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
static\Build\Assets\IAU2006_XYS\IAU2006_XYS_27.json, JSON, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
static\Build\Assets\IAU2006_XYS\IAU2006_XYS_3.json, JSON, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
static\Build\Assets\IAU2006_XYS\IAU2006_XYS_4.json, JSON, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
static\Build\Assets\IAU2006_XYS\IAU2006_XYS_5.json, JSON, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
static\Build\Assets\IAU2006_XYS\IAU2006_XYS_6.json, JSON, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
static\Build\Assets\IAU2006_XYS\IAU2006_XYS_7.json, JSON, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
static\Build\Assets\IAU2006_XYS\IAU2006_XYS_8.json, JSON, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
static\Build\Assets\IAU2006_XYS\IAU2006_XYS_9.json, JSON, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
static\Build\Assets\Textures\pin.svg, XML, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
static\Build\Assets\approximateTerrainHeights.json, JSON, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
static\Build\GeoVis.js, JavaScript, 174429, 0, 0, 0, 0, 0, 0, 0, 0, 79015, 34023, 287467
static\Build\ThirdParty\Workers\deflate.js, JavaScript, 1297, 0, 0, 0, 0, 0, 0, 0, 0, 493, 322, 2112
static\Build\ThirdParty\Workers\draco_decoder.js, JavaScript, 19, 0, 0, 0, 0, 0, 0, 0, 0, 25, 11, 55
static\Build\ThirdParty\Workers\draco_wasm_wrapper.js, JavaScript, 129, 0, 0, 0, 0, 0, 0, 0, 0, 22, 1, 152
static\Build\ThirdParty\Workers\inflate.js, JavaScript, 1704, 0, 0, 0, 0, 0, 0, 0, 0, 202, 281, 2187
